week,passing_epa,completions,attempts,passing_yards,passing_tds,interceptions,sacks,pacr
15,-5.6805059256148525,2,3,3,0,0,1,0.2
16,8.335159954724112,17,27,290,2,0,1,1.1646586345381527
17,11.097580417471297,18,24,274,0,0,1,1.5054945054945055
18,0.573040845541982,18,20,152,1,0,3,2.111111111111111
1,-4.415662565714761,17,22,169,0,1,4,1.6568627450980393
2,12.392853365532094,24,33,237,2,0,0,0.79
3,-7.2513471138071,22,31,202,0,0,4,1.015075376884422
4,6.872492622467689,15,19,186,2,0,3,1.55
5,-13.225236594514607,22,38,236,0,1,4,0.5592417061611374
6,5.846638061230958,21,30,223,1,1,1,0.9823788546255506
7,25.262835674511734,21,27,357,3,0,0,1.6153846153846154
8,-4.98437022745088,18,27,157,1,0,4,0.98125
9,-3.1819175304861713,21,26,187,0,0,1,0.7991452991452992
10,-5.893444059215654,13,23,223,1,2,3,0.9291666666666667
11,8.243131167493246,16,26,264,2,0,3,0.8655737704918033
12,-3.558443205733816,18,32,177,1,0,2,1.0411764705882354
14,11.559825902449342,24,43,316,3,1,2,0.5787545787545788
15,-3.565044596736317,14,24,171,1,1,3,0.8860103626943006
16,4.920349201298974,23,35,252,2,0,2,1.4736842105263157
17,28.995928248681594,18,21,321,5,0,1,1.3956521739130434
1,0.9109713025364148,21,34,173,2,0,1,0.6865079365079365
2,13.25848529643427,26,34,317,1,0,0,1.257936507936508
3,0.5610822458160358,15,25,146,1,1,2,0.553030303030303
4,8.84839650185313,25,32,246,3,1,1,1.4385964912280702
6,-8.300111832407799,19,37,206,0,1,1,0.4650112866817156
7,0.5751858274117692,27,42,275,1,1,3,0.8647798742138365
8,-1.0801537833780106,25,42,237,2,0,3,0.7745098039215687
9,10.579215147870128,21,30,265,2,0,2,1.003787878787879
10,7.865437767983115,18,29,278,2,1,3,0.7965616045845272
11,-9.188732027629158,29,45,246,1,1,4,0.6044226044226044
12,-7.509872112456654,20,30,199,2,1,6,0.9802955665024631
13,-3.701134300499689,14,29,202,1,1,1,0.643312101910828
14,2.4492407522937616,14,29,144,2,0,1,0.508833922261484
15,23.46660046726831,22,28,381,4,0,5,1.5059288537549407
16,12.943090209003836,26,35,283,2,0,2,1.2358078602620088
17,6.979737302695867,22,33,309,2,2,2,1.0804195804195804
18,-7.991260263885486,20,32,137,0,0,3,0.548
1,-1.4093970255351735,29,41,236,1,3,5,0.6982248520710059
2,13.21760739837191,31,37,274,3,0,2,1.6023391812865497
3,5.211040452186173,20,32,218,1,1,0,0.7124183006535948
4,22.19731426213972,21,25,320,4,0,2,1.5609756097560976
5,14.9453127423767,27,40,359,2,1,0,0.8103837471783296
6,1.2013992320389688,19,30,169,2,1,0,0.6401515151515151
7,8.579465328659799,27,41,265,2,1,1,0.5902004454342984
8,1.8202115608550784,31,40,324,2,1,2,1.3556485355648535
9,3.596652031051859,26,38,258,1,1,1,0.86
10,-5.041388048557565,15,26,177,1,2,0,0.7831858407079646
11,12.000879541489958,20,32,275,3,1,1,1.206140350877193
12,7.660534720481227,29,51,339,2,1,1,0.8329238329238329
14,-2.0088587999831455,23,42,233,1,1,3,0.6714697406340058
15,-0.4609956982137855,7,15,94,1,0,1,0.7966101694915254
16,10.033300907642115,15,21,237,1,1,1,0.855595667870036
17,-4.945098244781253,15,30,169,0,1,1,0.5029761904761905
18,3.935817859484814,30,38,359,2,2,3,0.9755434782608695
1,NA,0,0,0,0,0,0,NA
3,NA,0,0,0,0,0,0,NA
4,NA,0,0,0,0,0,0,NA
5,-1.0555692620109767,1,1,1,0,0,0,0
10,-2.4168919341173023,1,2,6,0,0,0,0
13,NA,0,0,0,0,0,0,NA
15,0.04260692391489673,2,3,20,0,0,0,1
16,-0.6477612565504387,8,14,81,1,1,2,0.81
17,-1.7085371020948514,0,0,0,0,0,1,NA
18,5.523995909395049,16,26,189,1,0,3,0.75
8,-5.129441424680408,5,10,42,0,0,1,0.7924528301886793
9,-14.595850082733032,13,28,130,0,1,1,0.4961832061068702
1,-1.24702901893761,0,1,0,0,0,0,0
11,-5.374978195216586,8,14,68,1,0,3,0.4594594594594595
12,-2.747910093474186,19,26,227,1,1,4,1.7196969696969697
13,19.50506688831062,32,37,354,1,0,2,2.1325301204819276
14,7.979605776898097,18,24,275,2,1,0,2.5462962962962963
15,10.253093997918768,29,42,324,2,1,4,0.8594164456233422
16,-8.639249561096868,28,42,335,1,3,3,1.3562753036437247
17,0.0672544692590038,19,33,197,1,0,6,0.76953125
18,2.503222872829731,18,24,156,3,1,2,1.4857142857142858
10,-5.510303714336204,19,32,249,0,1,2,0.7477477477477478
11,-6.826709361931806,20,30,214,1,1,3,0.7725631768953068
12,-13.317040873352765,27,45,256,1,0,4,0.6632124352331606
13,1.1446906625345359,13,23,145,1,0,2,0.838150289017341
15,-6.408165062213152,26,39,211,1,2,3,0.8978723404255319
16,-5.7748675456398555,24,38,230,2,0,2,1.0407239819004526
17,9.116396065266414,25,31,232,3,1,1,1.6223776223776223
18,14.697530754196652,22,30,262,1,0,1,1.5688622754491017
17,4.700232412085761,20,32,224,1,0,2,0.9256198347107438
18,0.3531887839199044,20,34,272,1,1,5,0.8421052631578947
14,-6.7211686507216655,13,24,179,0,0,2,0.8364485981308412
15,-10.32050233357586,23,32,257,3,1,3,1.7248322147651007
16,-1.0849161199779078,23,33,215,0,0,5,0.849802371541502
17,-0.6990487659365119,24,38,220,0,0,1,0.7857142857142857
18,-15.186350245580389,28,47,258,0,0,3,0.8376623376623377
1,-4.754616433085175,0,2,0,0,0,0,0
2,8.907145353119489,19,23,171,1,0,0,1.425
3,-8.418345229189796,27,44,227,1,0,5,0.6618075801749271
5,7.407801365479827,11,14,155,0,0,0,2.0945945945945947
6,-11.561452929262398,33,55,329,1,3,3,0.8350253807106599
7,0.7342462386582906,15,23,305,2,1,4,1.4593301435406698
8,-2.0379720588497103,23,41,213,2,1,2,0.6553846153846153
9,-1.0497175877787492,17,26,127,1,0,1,1.3655913978494623
10,2.4175481618581065,18,28,194,0,1,0,0.7854251012145749
12,-0.09710011280425235,24,41,251,0,1,2,1.0161943319838056
13,4.990761869994218,26,42,312,2,0,3,1.0032154340836013
14,-0.4344656739080248,26,39,240,1,1,3,1.0126582278481013
15,-0.6965998019654951,18,28,215,3,0,3,1.0093896713615023
16,-8.085402387826932,20,37,201,0,1,6,0.5432432432432432
17,11.492219796404243,15,23,224,1,0,1,1.4267515923566878
18,-4.5657571244969954,13,24,141,0,0,1,0.5949367088607594
4,1.799429426464485,2,6,63,0,0,0,1.26
11,-5.48228724184446,2,6,3,0,1,0,0.033707865168539325
14,-0.2363125089323148,22,31,269,2,2,4,1.1446808510638298
15,3.265447533214444,22,33,208,1,0,2,0.8421052631578947
1,-22.697970342473127,15,28,104,0,2,7,0.574585635359116
2,8.180348059220705,26,37,321,2,1,3,0.9277456647398844
3,-8.18383260950047,22,32,137,0,1,2,0.7210526315789474
4,-29.01369021102904,27,34,203,0,2,10,1.624
5,-4.5957046443267755,14,20,119,0,0,6,0.9296875
9,-4.144154457608238,4,9,25,0,0,2,0.1984126984126984
4,NA,0,0,0,0,0,0,NA
7,-0.9280543375061825,0,1,0,0,0,0,0
9,5.176841295120539,5,7,38,1,0,0,1.1176470588235294
17,4.22594323719386,1,1,19,1,0,0,1
18,-4.674275439687568,15,28,146,1,0,4,0.8588235294117647
1,27.078330696646354,28,45,466,3,1,0,0.9414141414141414
2,11.266563081514585,21,30,249,1,1,1,0.9256505576208178
3,26.372212297806982,23,26,309,4,0,0,2.06
4,-3.48410618014168,25,35,282,1,1,4,1.5
5,-1.8441978553910436,22,30,308,2,2,1,2.5040650406504064
6,16.12479107605759,21,31,262,3,0,0,0.9562043795620438
7,-3.8402599184064217,23,32,216,1,1,3,0.833976833976834
8,12.581885234021849,30,45,324,3,1,2,1.062295081967213
9,0.5236871447996236,21,34,193,1,0,3,0.6868327402135231
11,4.769229019801378,28,39,325,2,1,1,1.1016949152542372
12,4.45056448865949,21,30,243,1,2,2,1.653061224489796
13,19.67799806176171,18,24,280,2,0,0,1.2903225806451613
14,-7.4380432093967865,23,33,240,0,0,5,0.9523809523809523
15,9.223429321831443,21,24,224,1,0,3,2.3333333333333335
16,7.294361547796323,24,37,293,1,0,1,0.8093922651933702
17,-0.4419396678963432,22,38,237,2,2,3,0.9011406844106464
18,1.2538411483401433,17,27,173,1,2,0,0.5635179153094463
1,17.795653510178614,15,27,245,3,0,1,0.8909090909090909
2,2.6311388129449607,14,25,151,3,0,1,0.6832579185520362
3,-2.9644087828989982,22,44,259,1,1,1,0.49616858237547895
4,-12.693179846350668,23,36,246,1,2,5,0.717201166180758
5,-14.767112767702137,16,30,182,0,3,2,0.7615062761506276
7,7.5664805464003715,21,31,180,2,1,0,0.8490566037735849
8,-7.905982737080194,24,41,229,1,1,4,0.6155913978494624
